====================================================================================================
ANALIZADOR LÉXICO PARA RUBY
====================================================================================================

Usuario: Angelo
Fecha: 26/11/2025 20:11:19
Archivo analizado: temp_codigo.rb
====================================================================================================

TOKENS RECONOCIDOS:
----------------------------------------------------------------------------------------------------
Tipo                      Valor                          Línea      Posición  
PUNTO                     .                              58         1753      
VARIABLE_LOCAL            pack                           58         1754      
PARENTESIS_IZQ            (                              58         1758      
VARIABLE_LOCAL            side                           58         1759      
ASIGNACION                =                              58         1763      
STRING                    right                          58         1764      
COMA                      ,                              58         1771      
VARIABLE_LOCAL            padx                           58         1773      
ASIGNACION                =                              58         1777      
INTEGER                   20                             58         1778      
PARENTESIS_DER            )                              58         1780      
VARIABLE_LOCAL            self                           60         1799      
PUNTO                     .                              60         1803      
VARIABLE_LOCAL            btn_analizar                   60         1804      
ASIGNACION                =                              60         1817      
VARIABLE_LOCAL            tk                             60         1819      
PUNTO                     .                              60         1821      
CONSTANTE                 Button                         60         1822      
PARENTESIS_IZQ            (                              60         1828      
VARIABLE_LOCAL            btn_frame                      61         1842      
COMA                      ,                              61         1851      
VARIABLE_LOCAL            text                           62         1865      
ASIGNACION                =                              62         1869      
STRING                    ▶ ANALIZAR                     62         1870      
COMA                      ,                              62         1882      
VARIABLE_LOCAL            font                           63         1896      
ASIGNACION                =                              63         1900      
PARENTESIS_IZQ            (                              63         1901      
STRING                    Segoe UI                       63         1902      
COMA                      ,                              63         1912      
INTEGER                   12                             63         1914      
COMA                      ,                              63         1916      
STRING                    bold                           63         1918      
PARENTESIS_DER            )                              63         1924      
COMA                      ,                              63         1925      
VARIABLE_LOCAL            bg                             64         1939      
ASIGNACION                =                              64         1941      
STRING                    #50fa7b                        64         1942      
COMA                      ,                              64         1951      
VARIABLE_LOCAL            fg                             65         1965      
ASIGNACION                =                              65         1967      
STRING                    #1e1e2e                        65         1968      
COMA                      ,                              65         1977      
VARIABLE_LOCAL            activebackground               66         1991      
ASIGNACION                =                              66         2007      
STRING                    #5af78e                        66         2008      
COMA                      ,                              66         2017      
VARIABLE_LOCAL            activeforeground               67         2031      
ASIGNACION                =                              67         2047      
STRING                    #1e1e2e                        67         2048      
COMA                      ,                              67         2057      
VARIABLE_LOCAL            relief                         68         2071      
ASIGNACION                =                              68         2077      
STRING                    flat                           68         2078      
COMA                      ,                              68         2084      
VARIABLE_LOCAL            cursor                         69         2098      
ASIGNACION                =                              69         2104      
STRING                    hand2                          69         2105      
COMA                      ,                              69         2112      
VARIABLE_LOCAL            padx                           70         2126      
ASIGNACION                =                              70         2130      
INTEGER                   30                             70         2131      
COMA                      ,                              70         2133      
VARIABLE_LOCAL            pady                           71         2147      
ASIGNACION                =                              71         2151      
INTEGER                   15                             71         2152      
COMA                      ,                              71         2154      
VARIABLE_LOCAL            command                        72         2168      
ASIGNACION                =                              72         2175      
VARIABLE_LOCAL            self                           72         2176      
PUNTO                     .                              72         2180      
VARIABLE_LOCAL            analizar_codigo                72         2181      
PARENTESIS_DER            )                              73         2205      
VARIABLE_LOCAL            self                           74         2215      
PUNTO                     .                              74         2219      
VARIABLE_LOCAL            btn_analizar                   74         2220      
PUNTO                     .                              74         2232      
VARIABLE_LOCAL            pack                           74         2233      
PARENTESIS_IZQ            (                              74         2237      
PARENTESIS_DER            )                              74         2238      
DEF                       def                            76         2253      
VARIABLE_LOCAL            crear_main_container           76         2257      
PARENTESIS_IZQ            (                              76         2277      
VARIABLE_LOCAL            self                           76         2278      
PARENTESIS_DER            )                              76         2282      
DOS_PUNTOS                :                              76         2283      
STRING                                                   77         2293      
STRING                    Crear el contenedor principal con editor y panel de resultados 77         2295      
STRING                                                   77         2359      
VARIABLE_LOCAL            main_container                 78         2370      
ASIGNACION                =                              78         2385      
VARIABLE_LOCAL            tk                             78         2387      
PUNTO                     .                              78         2389      
CONSTANTE                 Frame                          78         2390      
PARENTESIS_IZQ            (                              78         2395      
VARIABLE_LOCAL            self                           78         2396      
PUNTO                     .                              78         2400      
VARIABLE_LOCAL            root                           78         2401      
COMA                      ,                              78         2405      
VARIABLE_LOCAL            bg                             78         2407      
ASIGNACION                =                              78         2409      
STRING                    #1e1e2e                        78         2410      
PARENTESIS_DER            )                              78         2419      
VARIABLE_LOCAL            main_container                 79         2429      
PUNTO                     .                              79         2443      
VARIABLE_LOCAL            pack                           79         2444      
PARENTESIS_IZQ            (                              79         2448      
VARIABLE_LOCAL            fill                           79         2449      
ASIGNACION                =                              79         2453      
STRING                    both                           79         2454      
COMA                      ,                              79         2460      
VARIABLE_LOCAL            expand                         79         2462      
ASIGNACION                =                              79         2468      
CONSTANTE                 True                           79         2469      
COMA                      ,                              79         2473      
VARIABLE_LOCAL            padx                           79         2475      
ASIGNACION                =                              79         2479      
INTEGER                   10                             79         2480      
COMA                      ,                              79         2482      
VARIABLE_LOCAL            pady                           79         2484      
ASIGNACION                =                              79         2488      
INTEGER                   10                             79         2489      
PARENTESIS_DER            )                              79         2491      
VARIABLE_LOCAL            self                           82         2545      
PUNTO                     .                              82         2549      
VARIABLE_LOCAL            crear_panel_editor             82         2550      
PARENTESIS_IZQ            (                              82         2568      
VARIABLE_LOCAL            main_container                 82         2569      
PARENTESIS_DER            )                              82         2583      
VARIABLE_LOCAL            self                           85         2639      
PUNTO                     .                              85         2643      
VARIABLE_LOCAL            crear_panel_resultados         85         2644      
PARENTESIS_IZQ            (                              85         2666      
VARIABLE_LOCAL            main_container                 85         2667      
PARENTESIS_DER            )                              85         2681      
DEF                       def                            87         2696      
VARIABLE_LOCAL            crear_panel_editor             87         2700      
PARENTESIS_IZQ            (                              87         2718      
VARIABLE_LOCAL            self                           87         2719      
COMA                      ,                              87         2723      
VARIABLE_LOCAL            parent                         87         2725      
PARENTESIS_DER            )                              87         2731      
DOS_PUNTOS                :                              87         2732      
STRING                                                   88         2742      
STRING                    Crear el panel del editor de código 88         2744      
STRING                                                   88         2781      
VARIABLE_LOCAL            editor_frame                   89         2792      
ASIGNACION                =                              89         2805      
VARIABLE_LOCAL            tk                             89         2807      
PUNTO                     .                              89         2809      
CONSTANTE                 Frame                          89         2810      
PARENTESIS_IZQ            (                              89         2815      
VARIABLE_LOCAL            parent                         89         2816      
COMA                      ,                              89         2822      
VARIABLE_LOCAL            bg                             89         2824      
ASIGNACION                =                              89         2826      
STRING                    #2d2d44                        89         2827      
COMA                      ,                              89         2836      
VARIABLE_LOCAL            width                          89         2838      
ASIGNACION                =                              89         2843      
INTEGER                   700                            89         2844      
PARENTESIS_DER            )                              89         2847      
VARIABLE_LOCAL            editor_frame                   90         2857      
PUNTO                     .                              90         2869      
VARIABLE_LOCAL            pack                           90         2870      
